Team,Opponent,PredictedWinRate
ManchesterCity,Burnley,83.72
ManchesterCity,NewcastleUnited,78.47
ManchesterCity,SheffieldUnited,77.76
ManchesterCity,Fulham,76.72
ManchesterCity,WestHamUnited,78.76
ManchesterCity,NottinghamForest,79.52
ManchesterCity,WolverhamptonWanderers,77.11
ManchesterCity,Arsenal,74.8
ManchesterCity,BrightonandHoveAlbion,83.75
ManchesterCity,ManchesterUnited,74.29
ManchesterCity,Bournemouth,83.53
ManchesterCity,Chelsea,79.83
ManchesterCity,Liverpool,78.58
ManchesterCity,TottenhamHotspur,78.39
ManchesterCity,AstonVilla,76.36
ManchesterCity,LutonTown,75.85
ManchesterCity,CrystalPalace,80.31
ManchesterCity,Everton,77.01
ManchesterCity,Brentford,85.53
Arsenal,NottinghamForest,85.07
Arsenal,CrystalPalace,83.95
Arsenal,Fulham,82.86
Arsenal,ManchesterUnited,83.18
Arsenal,Everton,84.13
Arsenal,TottenhamHotspur,81.03
Arsenal,Bournemouth,81.99
Arsenal,ManchesterCity,83.18
Arsenal,Chelsea,82.63
Arsenal,SheffieldUnited,83.74
Arsenal,NewcastleUnited,83.21
Arsenal,Burnley,83.65
Arsenal,Brentford,82.72
Arsenal,WolverhamptonWanderers,80.76
Arsenal,LutonTown,83.18
Arsenal,AstonVilla,76.86
Arsenal,BrightonandHoveAlbion,82.65
Arsenal,Liverpool,81.89
Arsenal,WestHamUnited,80.41
Liverpool,Chelsea,61.08
Liverpool,Bournemouth,66.22
Liverpool,NewcastleUnited,60.75
Liverpool,AstonVilla,61.02
Liverpool,WolverhamptonWanderers,60.26
Liverpool,WestHamUnited,62.23
Liverpool,TottenhamHotspur,61.86
Liverpool,BrightonandHoveAlbion,66.23
Liverpool,Everton,55.56
Liverpool,NottinghamForest,61.63
Liverpool,LutonTown,58.57
Liverpool,Brentford,67.95
Liverpool,ManchesterCity,58.0
Liverpool,Fulham,58.62
Liverpool,SheffieldUnited,62.63
Liverpool,CrystalPalace,59.77
Liverpool,ManchesterUnited,56.87
Liverpool,Arsenal,60.22
Liverpool,Burnley,66.2
AstonVilla,NewcastleUnited,64.34
AstonVilla,Everton,69.55
AstonVilla,Burnley,71.7
AstonVilla,Liverpool,64.96
AstonVilla,CrystalPalace,70.68
AstonVilla,Chelsea,69.18
AstonVilla,BrightonandHoveAlbion,70.27
AstonVilla,WolverhamptonWanderers,59.21
AstonVilla,WestHamUnited,58.18
AstonVilla,LutonTown,66.96
AstonVilla,NottinghamForest,65.81
AstonVilla,Fulham,65.69
AstonVilla,TottenhamHotspur,61.71
AstonVilla,Bournemouth,68.28
AstonVilla,ManchesterCity,66.03
AstonVilla,Arsenal,61.74
AstonVilla,Brentford,70.28
AstonVilla,SheffieldUnited,64.13
AstonVilla,ManchesterUnited,66.92
TottenhamHotspur,Brentford,56.16
TottenhamHotspur,ManchesterUnited,52.18
TottenhamHotspur,Bournemouth,56.16
TottenhamHotspur,Burnley,55.5
TottenhamHotspur,SheffieldUnited,53.79
